ime,kraj,doplacilo,vegetarijansko,dostava,dostop_za_invalide,odprto_ob_vikendih,nov_lokal
PIZZERIJA VIVALDI,MARIBOR,3.0,,,service-3,,
PIZZERIJA VIVALDI - DOSTAVA,MARIBOR,4.0,,service-5,,,
POBREŠKI HRAM - DOSTAVA,MARIBOR,4.3,service-1,service-5,,service-20,
PODMORNICA,LJUBLJANA,2.6,service-1,,service-3,,
POMORŠČAK,PORTOROŽ/PORTOROSE,1.9,,,,,
PORTOFINO,MARIBOR,3.0,service-1,,,,
PORTOFINO - DOSTAVA,MARIBOR,4.0,service-1,service-5,,,
PRAVNA FAKULTETA,LJUBLJANA,2.57,service-1,,,,
PREHRANA PALAČA SMELT,LJUBLJANA,3.47,service-1,,service-3,,
PRIMAVERA IZOLA,IZOLA/ISOLA,4.37,service-1,,,,
PRIMAVERA IZOLA-DOSTAVA,IZOLA/ISOLA,4.37,service-1,service-5,,service-20,
PROMETNA ŠOLA MARIBOR,MARIBOR,2.0,service-1,,,,
PUCCINI ŠPAGETERIJA IN PIZZERIJA,LJUBLJANA,4.17,service-1,,,,
Q SLOVENSKA,MARIBOR,3.77,service-1,,service-3,service-20,
Q TABOR,MARIBOR,3.77,service-1,,,,
R&amp;B - ROASTERY &amp; BACERY,LJUBLJANA,1.57,service-1,,service-3,,
"RESTAVRACIJA  ""BAŠČARŠIJA""",MARIBOR,2.77,service-1,,service-3,service-20,
"RESTAVRACIJA ""BERI 2""",LJUBLJANA,0.6,,,,service-20,
RESTAVRACIJA 123 DELO,LJUBLJANA,3.0,service-1,,,,
RESTAVRACIJA 123 DSU,LJUBLJANA,3.0,service-1,,,,
RESTAVRACIJA 123 FRI IN FKKT,LJUBLJANA,1.86,service-1,,service-3,,
RESTAVRACIJA 123 MC LJUBJANA,LJUBLJANA,3.0,service-1,,,,
RESTAVRACIJA 123 MC MARIBOR,MARIBOR,3.0,service-1,,,,
RESTAVRACIJA 123 MC NOVA GORICA,NOVA GORICA,3.0,service-1,,,,
RESTAVRACIJA 123 MEGA CENTER 2,LJUBLJANA,3.0,service-1,,,,
RESTAVRACIJA 123 MERCATOR DUNAJSKA,LJUBLJANA,3.0,service-1,,,,
RESTAVRACIJA 123 PEDAGOŠKA,LJUBLJANA,2.3,service-1,,,,
RESTAVRACIJA 123 PRISTAN,KOPER/CAPODISTRIA,3.0,service-1,,,,
RESTAVRACIJA 2000,LJUBLJANA,2.97,service-1,,service-3,,
RESTAVRACIJA ALLEGRIA,LJUBLJANA,4.3,service-1,,service-3,,
RESTAVRACIJA ANCORA,MARIBOR,3.47,service-1,,,,
RESTAVRACIJA BAR AMFORA,PTUJ,2.7,service-1,,service-3,,
RESTAVRACIJA BREJK,LJUBLJANA,3.8,service-1,,service-3,,
RESTAVRACIJA BURGER KING,LJUBLJANA,1.37,,,,,
RESTAVRACIJA CITY,KRŠKO,3.77,service-1,,service-3,service-20,
RESTAVRACIJA FANY &amp; MARY,LJUBLJANA,4.17,service-1,,service-3,service-20,
RESTAVRACIJA FRESCO,LJUBLJANA,3.7,service-1,,service-3,,
RESTAVRACIJA FRIDA&#39;S MEXICO,NAKLO,3.37,service-1,,service-3,,
RESTAVRACIJA GIG,LJUBLJANA,2.6,service-1,,service-3,,
RESTAVRACIJA GLAŽUTA,LJUBLJANA,4.17,service-1,,service-3,,
RESTAVRACIJA IN KAVA BAR PARADIŽ,LJUBLJANA,3.07,service-1,,service-3,,
RESTAVRACIJA IN KAVARNA FOODIE,LJUBLJANA,1.99,service-1,,service-3,,
RESTAVRACIJA IN PIVNICA ZVEZDA,MURSKA SOBOTA,2.47,service-1,,,,
RESTAVRACIJA IN PIZZERIJA PEPERONČINO,KOPER/CAPODISTRIA,3.3,service-1,,,,
RESTAVRACIJA INTERSPAR CELJE,CELJE,2.99,service-1,,,,
RESTAVRACIJA INTERSPAR CITYPARK,LJUBLJANA,2.99,service-1,,,,
RESTAVRACIJA INTERSPAR KOPER,KOPER/CAPODISTRIA,2.99,service-1,,service-3,,
RESTAVRACIJA INTERSPAR KRANJ,KRANJ,2.99,service-1,,,,
RESTAVRACIJA INTERSPAR MARIBOR EUROPARK,MARIBOR,2.99,service-1,,,,
RESTAVRACIJA INTERSPAR MARIBOR QLANDIA,MARIBOR,2.99,service-1,,,,
RESTAVRACIJA INTERSPAR MURSKA SOBOTA,MURSKA SOBOTA,2.99,service-1,,,,
RESTAVRACIJA INTERSPAR NOVA GORICA,NOVA GORICA,2.99,service-1,,service-3,,
RESTAVRACIJA INTERSPAR VIČ,LJUBLJANA,2.99,service-1,,,,
RESTAVRACIJA KAVARNA PIZZERIA HOMBRE,LJUBLJANA,3.7,service-1,,service-3,service-20,
RESTAVRACIJA KAZINA,JESENICE,4.0,service-1,,,,
RESTAVRACIJA KAZINA - DOSTAVA,JESENICE,4.0,service-1,service-5,,,
RESTAVRACIJA KITAJSKA PALAČA,MARIBOR,2.4,service-1,,service-3,service-20,
RESTAVRACIJA KITAJSKA ZVEZDA,LJUBLJANA,3.3,service-1,,service-3,service-20,
RESTAVRACIJA KITAJSKI VRT,PTUJ,2.87,service-1,,,,
RESTAVRACIJA KLUB CANKARJEVEGA DOMA,LJUBLJANA,3.57,service-1,,,,
RESTAVRACIJA KOLODVORSKA,VELENJE,3.37,service-1,,,,
RESTAVRACIJA KOMPLIMENT,ŠKOFJA LOKA,3.0,service-1,,,,
RESTAVRACIJA KOTNIKOVA,LJUBLJANA,2.5,service-1,,service-3,,
RESTAVRACIJA MANGO,MARIBOR,3.4,service-1,,service-3,service-20,
RESTAVRACIJA MCDONALDS - CITYCENTER,CELJE,2.07,service-1,,service-3,service-20,
RESTAVRACIJA MCDONALDS - PTUJ,PTUJ,2.07,service-1,,,,
RESTAVRACIJA MCDONALD&#39;S ČOPOVA,LJUBLJANA,2.07,,,,service-20,
RESTAVRACIJA MCDONALD&#39;S KOLOSEJ,LJUBLJANA,2.07,,,,,
RESTAVRACIJA MCDONALD&#39;S NOVO MESTO,NOVO MESTO,2.07,,,,,
RESTAVRACIJA MCDONALD&#39;S RUDNIK,LJUBLJANA,2.07,,,,,
RESTAVRACIJA MCDONALD&#39;S -ŽELEZNIŠKA,LJUBLJANA,2.07,,,,,
RESTAVRACIJA MCDONALD&#39;S ŽITO,LJUBLJANA,2.07,,,,,
RESTAVRACIJA MODRI KVADRAT,LJUBLJANA,3.37,service-1,,,,
RESTAVRACIJA MOZART,LJUBLJANA,3.37,service-1,,service-3,,
RESTAVRACIJA MR. FALAFEL,MARIBOR,3.5,service-1,,service-3,service-20,
RESTAVRACIJA NA KLANCU,SLOVENJ GRADEC,2.87,service-1,,,service-20,
RESTAVRACIJA ORIENT,MARIBOR,2.9,service-1,,,service-20,
RESTAVRACIJA PIANO,MARIBOR,2.96,service-1,,,,
RESTAVRACIJA PIZZERIA SAN MARTINO,LJUBLJANA,3.27,service-1,,,,
RESTAVRACIJA PLEČNIKOV HRAM,LJUBLJANA,3.27,service-1,,service-3,service-20,
"RESTAVRACIJA PRESTIGE CATERING, GZS",LJUBLJANA,2.97,service-1,,service-3,,
RESTAVRACIJA PRI STAREM MOSTU (HOTEL LENT),MARIBOR,3.37,service-1,,service-3,,
RESTAVRACIJA RDEČE JABOLKO,LJUBLJANA,3.2,service-1,,service-3,service-20,
RESTAVRACIJA RODIŠKA KUH&#39;NA,DOMŽALE,2.97,service-1,,,,
RESTAVRACIJA SARAJEVSKIH JEDI VALTER - ŠKOFJA LOKA,ŠKOFJA LOKA,2.3,service-1,,,service-20,
RESTAVRACIJA SARAJEVSKIH JEDI VALTER JESENICE,JESENICE,2.3,service-1,,,,
RESTAVRACIJA SARAJEVSKIH JEDI VALTER KRANJ,KRANJ,2.3,service-1,,,service-20,
RESTAVRACIJA SARAJEVSKIH JEDI VALTER LJUBLJANA,LJUBLJANA,2.3,service-1,,service-3,service-20,
RESTAVRACIJA SARAJEVSKIJ JEDI VALTER RADOVLJICA,RADOVLJICA,2.3,service-1,,,service-20,
RESTAVRACIJA SHAOLIN,LJUBLJANA,3.0,service-1,,,service-20,
RESTAVRACIJA SKRITI KOT,LJUBLJANA,3.7,service-1,,service-3,,
RESTAVRACIJA SLOREST VIČAVA,PTUJ,1.5,service-1,,,,
RESTAVRACIJA SPLOŠNE BOLNIŠNICE NOVO MESTO,NOVO MESTO,3.17,service-1,,,,
RESTAVRACIJA ŠEF LA,LJUBLJANA,2.5,service-1,,,,
RESTAVRACIJA ŠEF LA - DOSTAVA,LJUBLJANA,4.0,service-1,service-5,,,
RESTAVRACIJA ŠOLSKI CENTER AŠKERČEVA,LJUBLJANA,2.0,service-1,,service-3,,
"RESTAVRACIJA TARTUF ""CENTER""",LJUBLJANA,3.7,service-1,,service-3,,
RESTAVRACIJA TOMI,MARIBOR,2.97,service-1,,,,
RESTAVRACIJA TUŠ CELJE (PLANET TUŠ),CELJE,2.37,service-1,,,,
RESTAVRACIJA TUŠ KRANJ,KRANJ,2.37,service-1,,,,
RESTAVRACIJA ZLATA SREČA,MARIBOR,2.5,service-1,,,,
"RESTAVRACIJA,PICERIJA, ŠPAGETERIJA ADRENALINA",KRŠKO,3.7,service-1,,,service-20,
"RESTAVRACIJA,PICERIJA, ŠPAGETERIJA ADRENALINA - DOSTAVA",KRŠKO,4.0,service-1,service-5,,,
RESTORANTE BELLA ITALIA,MARIBOR,3.5,,,,,
ROŠTILJ,LJUBLJANA,2.57,service-1,,,service-20,
ROZA SLON,LJUBLJANA,2.9,,,service-3,service-20,
ROZA SLON BEŽIGRAD,LJUBLJANA,2.9,,,service-3,,
RUNNING SUSHI &amp; WOK,LJUBLJANA,3.87,service-1,,,,
SALAMON - DOSTAVA,LJUBLJANA,3.87,service-1,service-5,,service-20,
SAMOPOSTREŽNA RESTAVRACIJA DOBRA HIŠA,LJUBLJANA,3.87,service-1,,,,
SKUHNA - SVETOVNA KUHINJA PO SLOVENSKO,LJUBLJANA,3.37,service-1,,,,
SLAŠČIČARNA IN KAVARNA LEONARD,LJUBLJANA,0.0,,,service-3,service-20,
"SLAŠČIČARNA IN OKREPČEVALNICA ""JAGODA""",LJUBLJANA,1.57,service-1,,,,
SLAŠČIČARNA IN PICERIJA AJDOVŠČINA,AJDOVŠČINA,3.37,,,service-3,service-20,
SLAŠČIČARNA IN PICERIJA AJDOVŠČINA - HALO ERIK-DOSTAVA,AJDOVŠČINA,3.37,service-1,service-5,,service-20,
SPLOŠNA BOLNIŠNICA IZOLA,IZOLA/ISOLA,2.37,service-1,,,,
SREDNJA GOZDARSKA IN LESARSKA ŠOLA POSTOJNA,POSTOJNA,1.97,,,,,
SREDNJA ŠOLA IZOLA - SCUOLA MEDIA ISOLA,IZOLA/ISOLA,2.0,service-1,,,,
STARA KRŠKA PIZZERIJA,KRŠKO,3.37,service-1,,,,
STARA KRŠKA PIZZERIJA - DOSTAVA,KRŠKO,3.57,service-1,service-5,,service-20,
SUBWAY,LJUBLJANA,1.37,service-1,,service-3,service-20,
SUBWAY,LJUBLJANA,1.37,service-1,,service-3,service-20,
ŠEHEREZADA,LJUBLJANA,1.37,,,,service-20,
ŠOLSKI CENTER ŠENTJUR,ŠENTJUR,0.87,service-1,,,,
ŠTUDENTSKI DOM LJUBLJANA - RESTAVRACIJA,LJUBLJANA,2.6,service-1,,service-3,,
TAJ MAHAL,LJUBLJANA,4.0,service-1,,service-3,service-20,
TAJ MAHAL - DOSTAVA,LJUBLJANA,4.0,service-1,service-5,,service-20,
TAJSKA RESTAVRACIJA BANGKOK STREET,LJUBLJANA,3.67,service-1,,,,
TAKOS DOS,MARIBOR,3.0,service-1,,,,
TAKOS LENT,MARIBOR,3.0,service-1,,,service-20,
TANDOORI CAFE,LJUBLJANA,3.3,service-1,,service-3,service-20,
TANDOORI CAFE - DOSTAVA,LJUBLJANA,3.7,service-1,service-5,,service-20,
TASTY SNACKS,MARIBOR,0.0,service-1,,,,
"TAVERNA HUBER, RESTAVRACIJA IN SLASČIČARNA",MURSKA SOBOTA,2.97,,,service-3,,
TAVERNA SICILIA,MARIBOR,3.57,service-1,,service-3,service-20,
TAVERNA SICILIA - DOSTAVA,MARIBOR,3.57,service-1,service-5,,service-20,
THE WOK,LJUBLJANA,2.57,service-1,,,service-20,
TRATTORIA PADRINO,MARIBOR,3.0,,,service-3,service-20,
TRNOVSKI ZVON,LJUBLJANA,3.87,service-1,,,service-20,
TUŠ RESTAVRACIJA MARIBOR STUDENCI (PLANET TUŠ),MARIBOR,2.37,service-1,,,,
UFO,LJUBLJANA,2.98,service-1,,service-3,service-20,
UN MOMENTO-PIZZA TIME,MARIBOR,0.6,,,,,
"UTRIP - BAR, BISTRO IN KAVARNA",LJUBLJANA,4.37,service-1,,,,
V PARKU,LJUBLJANA,0.0,service-1,,,service-20,
VEGETARIJANSKA OKREPČEVALNICA HOLYFOOD,LJUBLJANA,0.0,,,service-3,,
VEGETARIJANSKA RESTAVRACIJA RADHA GOVINDA,LJUBLJANA,3.2,service-1,,,,
VIVO D125,LJUBLJANA,3.87,service-1,,service-3,,
VODNIKOV HRAM,LJUBLJANA,4.37,service-1,,service-3,service-20,
VOLTA,LJUBLJANA,2.9,service-1,,service-3,,
VOZI MIŠKO (MC ŠIŠKA),LJUBLJANA,3.87,service-1,,,,
VOZI MIŠKO (SUPERNOVA RUDNIK),LJUBLJANA,3.87,service-1,,,,
WOK MIX OKREPČEVALNICA,MARIBOR,2.7,service-1,,service-3,,
ZLATI KROŽNIK,DOMŽALE,3.5,service-1,,service-3,service-20,
ZLATI KROŽNIK - DOSTAVA,DOMŽALE,4.0,service-1,service-5,,service-20,
ŽITO LJUBLANA ŽELEZNIŠKA (KOLODVOR),LJUBLJANA,0.6,,,,service-20,
ŽITO LJUBLJANA BAVARSKI DVOR,LJUBLJANA,0.6,,,,service-20,
ŽITO LJUBLJANA VODNIK,LJUBLJANA,0.6,,,,service-20,
ŽITO TRŽNICA KOPER,KOPER/CAPODISTRIA,0.6,service-1,,service-3,service-20,
