ime,kraj,doplacilo,vegetarijansko,dostava,dostop_za_invalide,odprto_ob_vikendih,nov_lokal
"GARAČ - RESTAVRACIJA ""M""",ŠKOFJA LOKA,2.7,service-1,,service-3,,
GOSPOSVETSKA,MARIBOR,0.0,,,service-3,,
GOSTILNA ČARDA,LJUBLJANA,3.87,service-1,,service-3,,
GOSTILNA ČAS,ŽALEC,3.27,service-1,,,service-20,
GOSTILNA IN GALERIJA MAJOLKA,KAMNIK,3.8,service-1,,service-3,,
GOSTILNA IN MINI RESTAVRACIJA RAJH,MURSKA SOBOTA,3.5,,,service-3,service-20,
GOSTILNA IN PICERIJA PAVON,LJUBLJANA,4.37,service-1,,,,
GOSTILNA IN PIZZERIA KORTINA,KOPER/CAPODISTRIA,3.87,service-1,,service-3,service-20,
GOSTILNA IN PIZZERIA MAESTRO,CELJE,3.37,,,,,
GOSTILNA IN PIZZERIJA BREZA,LJUBLJANA,4.17,service-1,,service-3,service-20,
GOSTILNA JAKA,LJUBLJANA,3.37,service-1,,,service-20,
GOSTILNA JELEN,LJUBLJANA,3.5,service-1,,service-3,service-20,
GOSTILNA KERŠIČ,LJUBLJANA,3.0,service-1,,,service-20,
GOSTILNA LEČNIK,RAVNE NA KOROŠKEM,3.07,service-1,,service-3,service-20,
GOSTILNA LUŽNIK,PTUJ,2.3,service-1,,service-3,service-20,
GOSTILNA POD LIPO,LJUBLJANA,3.7,service-1,,service-3,service-20,
GOSTILNA POD ŠKALCAMI,SLOVENSKE KONJICE,1.0,,,service-3,,
GOSTILNA POD ŠKALCAMI - DOSTAVA,SLOVENSKE KONJICE,1.0,,service-5,,,
GOSTILNA PRI POŠTI,PTUJ,3.17,service-1,,service-3,,
GOSTILNA PRI VIKTORJU,KRANJ,2.87,service-1,,,service-20,
GOSTILNA RACMAN,BREŽICE,2.97,service-1,,service-3,,
GOSTILNA STARI TIŠLER,LJUBLJANA,3.87,service-1,,service-3,,
GOSTILNA ŠELIGO,TREBNJE,3.5,service-1,,service-3,service-20,
GOSTILNA ŠTORKLJA,LJUBLJANA,4.07,service-1,,,service-20,
GOSTILNA ZLATI LEV,MARIBOR,2.17,service-1,,service-3,service-20,
GOSTILNA ZLATI LEV - DOSTAVA,MARIBOR,2.57,service-1,service-5,,,
GOSTILNICA &amp; PICERIJA POBREŠKI HRAM,MARIBOR,3.7,service-1,,service-3,,
GOSTILNICA GUŠT,IZOLA/ISOLA,4.37,service-1,,service-3,,
GOSTILNICA IN PIVNICA KATRCA,LJUBLJANA,3.87,service-1,,service-3,,
GOSTILNICA IN PIZZERIJA KRATOCHWILL,LJUBLJANA,4.0,service-1,,,,
GOSTILNICA IN PIZZERIJA KRATOCHWILL,LJUBLJANA,4.0,service-1,,,,
GOSTILNICA NAMANOVA,SLOVENJ GRADEC,2.67,service-1,,,,
GOSTIŠČE KUM,ZAGORJE OB SAVI,3.17,service-1,,service-3,service-20,
GOSTIŠČE LOKA,NOVO MESTO,3.5,service-1,,service-3,,
GOSTIŠČE NA TRGU - HIŠA KULINARIKE,NOVO MESTO,2.77,service-1,,,,
GREENY EF,LJUBLJANA,1.5,service-1,,,,
GREENY FŠ,LJUBLJANA,1.5,service-1,,,,
GURMANSKI HRAM,MARIBOR,2.07,service-1,,service-3,,
GURMANSKI HRAM - DOSTAVA,MARIBOR,2.07,service-1,service-5,,,
HALO HONKONG - DOSTAVA,LJUBLJANA,4.2,service-1,service-5,,service-20,
HALO JANEZ,LJUBLJANA,3.77,service-1,,service-3,service-20,
HALO JANEZ - DOSTAVA,LJUBLJANA,3.77,service-1,service-5,,service-20,
HALO KATRA,LJUBLJANA,4.37,service-1,service-5,,,
HALO PINKI,LJUBLJANA,3.3,service-1,,,service-20,
HALO PINKI - DOSTAVA,LJUBLJANA,3.9,service-1,service-5,,service-20,
HALO RDEČE JABOLKO - DOSTAVA,LJUBLJANA,4.2,service-1,service-5,,service-20,
HALO SHAOLIN - DOSTAVA,LJUBLJANA,4.0,service-1,service-5,,service-20,
HIŠA POD GRADOM,LJUBLJANA,3.97,service-1,,,,
HITRA HRANA MARTINA KRPANA,NOVO MESTO,2.07,,,,,
HONG XIANG,LJUBLJANA,2.8,service-1,,service-3,,
HONG XIANG - DOSTAVA,LJUBLJANA,4.0,,service-5,,,
HOSTEL SITULA,NOVO MESTO,2.98,service-1,,service-3,,
HOT HORSE - BTC,LJUBLJANA,3.2,service-1,,service-3,,
HOT HORSE - TIVOLI,LJUBLJANA,3.2,service-1,,service-3,,
HOTEL CELEIA,CELJE,3.5,service-1,,service-3,,
HOTEL OPARA,TREBNJE,3.5,service-1,,,,
HOTEL PAKA,VELENJE,3.87,,,,,
HOTEL SLOVENJ GRADEC,SLOVENJ GRADEC,1.87,service-1,,,,
HOTSPOT BAR&amp;BISTRO,LJUBLJANA,3.07,service-1,,,,
HOTSPOT CENTER BAR&amp;BISTRO,LJUBLJANA,3.67,,,,,
HUANG&#180;S KITAJSKA RESTAVRACIJA,LJUBLJANA,4.17,service-1,,service-3,service-20,
ITALIJANSKA RESTAVRACIJA MIRJE,LJUBLJANA,4.37,service-1,,service-3,service-20,
JAPONSKA RESTAVRACIJA MOYSUSHI,LJUBLJANA,3.87,service-1,,,service-20,
JET BAR,LJUBLJANA,3.4,service-1,,service-3,,
JOE PENA&#39;S CANTINA Y BAR,LJUBLJANA,4.37,service-1,,,service-20,
K16,LJUBLJANA,0.0,service-1,,,,
KAMPUS PIZZA,LJUBLJANA,2.5,,,service-3,,
KANAPE,MARIBOR,0.0,service-1,,service-3,,
KAPITAL,LJUBLJANA,2.7,service-1,,,,
KARANTANIJA,KRANJ,2.4,service-1,,service-3,service-20,
KAVARNA FILOZOF,LJUBLJANA,0.0,service-1,,,,
KAVARNA IN RESTAVRACIJA NOVA GORICA,NOVA GORICA,3.87,service-1,,service-3,,
KAVARNA IN SENDVIČARNA FERI,MARIBOR,0.0,,,service-3,,
KAVARNA IN SLAŠČIČARNA CARNIOLA,KRANJ,2.27,service-1,,service-3,service-20,
KAVARNA IN SLAŠČIČARNA RENDEZ - VOUS,KRANJ,2.27,service-1,,,service-20,
KAVARNA NUK,LJUBLJANA,2.5,,,,,
KAVARNA STIL BURGER,MARIBOR,1.17,service-1,,service-3,service-20,
KAVARNA STRIT,LJUBLJANA,1.9,service-1,,,,
KITAJSKA PALAČA - DOSTAVA,MARIBOR,3.6,service-1,service-5,,service-20,
KITAJSKA RESTAVRACIJA AZIJA,MARIBOR,3.5,service-1,,service-3,,
KITAJSKA RESTAVRACIJA AZIJA,KRANJ,2.9,service-1,,,service-20,
KITAJSKA RESTAVRACIJA BELI LABOD,LJUBLJANA,3.2,service-1,,,,
KITAJSKA RESTAVRACIJA BELI LABOD - DOSTAVA,LJUBLJANA,4.0,service-1,service-5,,service-20,
KITAJSKA RESTAVRACIJA CESARSKA HIŠA,KOPER/CAPODISTRIA,3.2,service-1,,service-3,service-20,
KITAJSKA RESTAVRACIJA CHANG,KOPER/CAPODISTRIA,4.3,service-1,,service-3,,
KITAJSKA RESTAVRACIJA DVA ZMAJA,CELJE,2.97,service-1,,service-3,,
KITAJSKA RESTAVRACIJA HAN,LJUBLJANA,3.67,service-1,,,,
KITAJSKA RESTAVRACIJA KITAJSKI ZMAJ,LJUBLJANA,3.3,service-1,,,service-20,
KITAJSKA RESTAVRACIJA NANKING,NOVO MESTO,3.0,service-1,,service-3,service-20,
KITAJSKA RESTAVRACIJA NOVI ŠANGHAI,LJUBLJANA,3.0,service-1,,service-3,service-20,
KITAJSKA RESTAVRACIJA PEKING,BLED,3.27,service-1,,,service-20,
KITAJSKA RESTAVRACIJA ŠANG HAI,JESENICE,3.27,service-1,,service-3,service-20,
KITAJSKA RESTAVRACIJA ZHONGHUA,LJUBLJANA,3.2,service-1,,,,
KITAJSKA RESTAVRACIJA ZLATA SRNA,MARIBOR,2.5,service-1,,service-3,service-20,
KITAJSKA RESTAVRACIJA ZLATA SRNA - DOSTAVA,MARIBOR,3.3,service-1,service-5,,service-20,
KITAJSKA RESTAVRACIJA ZVEZDA,MARIBOR,2.2,service-1,,,service-20,
KITAJSKA RESTAVRACJA CESARSKA HIŠA-DOSTAVA,KOPER/CAPODISTRIA,4.2,service-1,service-5,,service-20,
KITAJSKI DVOR,CELJE,2.7,service-1,,service-3,,
KITAJSKI DVOR,LJUBLJANA,3.2,service-1,,,,
KITAJSKI DVOR - DOSTAVA,LJUBLJANA,3.7,service-1,service-5,,,
KITAJSKI DVOR - DOSTAVA,CELJE,3.3,service-1,service-5,,,
KITAJSKO MESTO,DOMŽALE,2.57,service-1,,service-3,service-20,
KITAJSKO MESTO - DOSTAVA,DOMŽALE,3.87,service-1,service-5,,service-20,
KLINIKA BAR,LJUBLJANA,1.3,,,service-3,service-20,
KLOPČIČ,LJUBLJANA,2.57,service-1,,,,
KLOPČIČ - DOM LITOSTROJ,LJUBLJANA,2.57,service-1,,,,
KRATOCHWILL,MURSKA SOBOTA,3.27,service-1,,,,
KURJI TAT,LJUBLJANA,3.27,service-1,,service-3,,
LA CANTINA,RADOVLJICA,3.37,,,service-3,service-20,
LA PIZZETA OKREPČEVALNICA,HOČE,2.0,service-1,,,,
LABIRINT,KOPER/CAPODISTRIA,3.1,service-1,,service-3,,
LETEČA ZVEZDA,LJUBLJANA,3.0,service-1,,,,
LIPCA - INDEKS,LJUBLJANA,0.0,service-1,,,service-20,
LONDON STREET FOOD,MARIBOR,2.97,service-1,,service-3,,
LOVING HUT,MARIBOR,3.3,service-1,,service-3,,
LOVING HUT LJUBJANA CENTER,LJUBLJANA,3.5,service-1,,,,
LUNCH BOX,MARIBOR,0.0,,,,,
MAFIJA,LJUBLJANA,0.0,service-1,,,,
MAHARAJA INDIJSKA RESTAVRACIJA,LJUBLJANA,4.37,service-1,,service-3,,
MANGO SNACKS,MARIBOR,0.0,service-1,,service-3,,
MAŠ ZA MAL&#39;CO,VELENJE,2.17,service-1,,service-3,,
MAXI RESTAVRACIJA ROMANSA 1971,LJUBLJANA,4.27,service-1,,service-3,service-20,
MC PANDA,MARIBOR,0.0,service-1,,,,
MC PATRIOT,SLOVENSKE KONJICE,1.0,,,service-3,service-20,
MCDONALD&#180;S RESTAVRACIJA - SWATY,MARIBOR,2.07,service-1,,,,
MCDONALD&#180;S RESTAVRACIJA EUROPARK,MARIBOR,2.07,service-1,,,,
MCDONALD&#180;S RESTAVRACIJA PTUJSKA,MARIBOR,2.07,service-1,,,,
MCDONALD&#180;S RESTAVRACIJA VELENJE,VELENJE,2.07,service-1,,,,
MCDONALD&#39;S MCDRIVE DOMŽALE,DOMŽALE,2.07,service-1,,,,
MCDONALD&#39;S RESTAVRACIJA - CELJE DRIVE,CELJE,2.07,,,,,
MCDONALD&#39;S RESTAVRACIJA - CELOVŠKA,LJUBLJANA,2.07,service-1,,,,
MCDONALD&#39;S RESTAVRACIJA - KRANJ DRIVE,KRANJ,2.07,service-1,,,,
MCDONALD&#39;S RESTAVRACIJA KOPER,KOPER/CAPODISTRIA,2.07,service-1,,,,
MCDONALD&#39;S RESTAVRACIJA NOVA GORICA,NOVA GORICA,2.07,service-1,,,,
ME GUSTA,MARIBOR,0.0,,,,,
MEDITERRANEO,LJUBLJANA,4.37,service-1,,,service-20,
MEHIŠKA RESTAVRACIJA CANTINA MARIA,KRANJ,2.4,service-1,,service-3,,
MEHIŠKA RESTAVRACIJA IMPERIO - DOSTAVA,LJUBLJANA,4.37,service-1,service-5,,service-20,
