ime,naslov,kraj,ocena,doplacilo,vegetarijansko,dostop_za_invalide,dostava,odprto_ob_vikendih,nov_lokal
"DA BU DA, AZIJSKA RESTAVRACIJA","Šubičeva 1a, 1000 Ljubljana",LJUBLJANA,4,4.37,DA,NE,NE,NE,NE
DIFOOD-EAT GOOD,"Gortanova 21, 1000 Ljubljana",LJUBLJANA,5,1.7,NE,DA,NE,NE,NE
DIJAŠKI DOM IVANA CANKARJA,"Poljanska cesta 26, 1000 Ljubljana",LJUBLJANA,4,2.4,DA,NE,NE,NE,NE
DIJAŠKI DOM LIZIKE JANČAR,"Titova cesta 24a, 2000 Maribor",MARIBOR,0,2.07,DA,NE,NE,NE,NE
DIJAŠKI DOM MARIBOR,"Gosposvetska cesta 89, 2000 Maribor",MARIBOR,5,2.37,DA,NE,NE,NE,NE
DIJAŠKI DOM POLJANE,"Potočnikova ulica 3, 1000 Ljubljana",LJUBLJANA,0,2.2,DA,NE,NE,NE,NE
DIJAŠKI DOM PORTOROŽ,"Sončna pot 20, 6320 Portorož/Portorose",PORTOROŽ/PORTOROSE,0,3.0,DA,NE,NE,NE,DA
DIJAŠKI DOM TABOR,"Vidovdanska 7, 1000 Ljubljana",LJUBLJANA,5,2.4,DA,NE,NE,NE,NE
DIJAŠKI DOM VIČ,"Gerbičeva 51/a, 1000 Ljubljana",LJUBLJANA,4,2.4,DA,DA,NE,NE,NE
DIJAŠKI IN ŠTUDENTSKI DOM KOPER,"Cankarjeva 5, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,5,1.9,DA,DA,NE,NE,NE
DIJAŠKI IN ŠTUDENTSKI DOM KRANJ,"Kidričeva cesta 53, 4000 Kranj",KRANJ,5,1.87,DA,DA,NE,NE,NE
DIJAŠKI IN ŠTUDENTSKI DOM NOVO MESTO,"Šegova ulica 115, 8000 Novo mesto",NOVO MESTO,0,2.5,DA,NE,NE,NE,NE
DOBROTE VZHODA,"Celovška cesta 69 a, 1000 Ljubljana",LJUBLJANA,5,3.6,DA,NE,NE,DA,NE
DOMAČA PEKARNA,"Dunajska cesta 113, 1000 Ljubljana",LJUBLJANA,4,0.5,NE,DA,NE,NE,NE
DUNYA DONER,"Trg OF 13, 1000 Ljubljana",LJUBLJANA,5,3.3,DA,DA,NE,DA,NE
EAT SMART,"Strossmayerjeva 13, 2000 Maribor",MARIBOR,4,0.0,DA,NE,NE,NE,NE
EAT SMART FERI,"Smetanova 17, 2000 Maribor",MARIBOR,5,2.5,NE,NE,NE,NE,NE
EJGA - RESTAVRACIJA - KAVARNA - PUB - CATERING,"Cesta maršala Tita 27, 4270 Jesenice",JESENICE,2,4.37,DA,DA,NE,DA,NE
EKSPERIMENT RESTAVRACIJA & BAR,"Slovenska cesta 10, 1000 Ljubljana",LJUBLJANA,3,4.3,DA,NE,NE,NE,NE
EMONSKA KLET,"Plečnikov trg 1, 1000 Ljubljana",LJUBLJANA,4,3.5,DA,NE,NE,NE,NE
FAJN FUUD,"Poljanska cesta 22, 1000 Ljubljana",LJUBLJANA,3,2.8,DA,NE,NE,NE,NE
FAJN FUUD PIZZA,"Poljanska cesta 22, 1000 Ljubljana",LJUBLJANA,5,0.0,DA,NE,NE,NE,NE
"FAKULTETA ZA ELEKTROTEHNIKO, MENZA FE","Tržaška cesta 25, 1000 Ljubljana",LJUBLJANA,5,2.57,DA,NE,NE,NE,NE
FARI'S DELICE,"Miklošičeva 34, 1000 Ljubljana",LJUBLJANA,5,2.87,DA,NE,NE,DA,NE
FAST FOOD FRESCO IN SLAST,"Slovenska cesta 51, 1000 Ljubljana",LJUBLJANA,4,1.5,NE,DA,NE,DA,NE
FAST FOOD MAGIC,"Pristaniška ulica2, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,3,2.0,NE,DA,NE,DA,NE
FAST FOOD PUB POD SKALCO,"Gosposka 19, 1000 Ljubljana",LJUBLJANA,5,3.17,DA,DA,NE,NE,NE
FASTFOOD AJDA,"Trg OF 13, 1000 Ljubljana",LJUBLJANA,4,2.1,NE,DA,NE,DA,NE
FORUM,"Petkovškovo nabrežje 25, 1000 Ljubljana",LJUBLJANA,4,4.37,DA,NE,NE,NE,NE
FRESH 4 LIFE VETRINJSKA,"Vetrinjska ulica 9, 2000 Maribor",MARIBOR,4,0.0,DA,DA,NE,NE,DA
