ime,naslov,kraj,ocena,doplacilo,vegetarijansko,dostop_za_invalide,dostava,odprto_ob_vikendih,nov_lokal
LUNCH BOX,"Gosposvetska cesta 19, 2000 Maribor",MARIBOR,4,0.0,NE,NE,NE,NE,NE
MAFIJA,"Jadranska 21, 1000 Ljubljana",LJUBLJANA,5,0.0,DA,NE,NE,NE,NE
MAHARAJA INDIJSKA RESTAVRACIJA,"Vodnikova 35, 1000 Ljubljana",LJUBLJANA,5,4.37,DA,DA,NE,NE,NE
MANGO SNACKS,"Turnerjeva ulica 17, 2000 Maribor",MARIBOR,4,0.0,DA,DA,NE,NE,NE
MAŠ ZA MAL'CO,"Tomšičeva 10b, 3320 Velenje",VELENJE,5,2.17,DA,DA,NE,NE,NE
MAXI RESTAVRACIJA ROMANSA 1971,"Trg republike 1, 1000 Ljubljana",LJUBLJANA,4,4.27,DA,DA,NE,DA,NE
MC PANDA,"Ulica Vita Kraigherja 5, 2000 Maribor",MARIBOR,4,0.0,DA,NE,NE,NE,NE
MC PATRIOT,"Žička cesta 4a, 3210 Slovenske Konjice",SLOVENSKE KONJICE,0,1.0,NE,DA,NE,DA,NE
MCDONALD'S RESTAVRACIJA - SWATY,"Tržaška 6, 2000 Maribor",MARIBOR,4,2.07,DA,NE,NE,NE,NE
MCDONALD'S RESTAVRACIJA EUROPARK,"Pobreška 18, 2000 Maribor",MARIBOR,5,2.07,DA,NE,NE,NE,NE
MCDONALD'S RESTAVRACIJA PTUJSKA,"Ptujska 106, 2000 Maribor",MARIBOR,4,2.07,DA,NE,NE,NE,NE
MCDONALD'S RESTAVRACIJA VELENJE,"Kidričeva 2b, 3320 Velenje",VELENJE,4,2.07,DA,NE,NE,NE,NE
MCDONALD'S MCDRIVE DOMŽALE,"Breznikova 15, 1230 Domžale",DOMŽALE,4,2.07,DA,NE,NE,NE,NE
MCDONALD'S RESTAVRACIJA - CELJE DRIVE,"Mariborska cesta 164, 3000 Celje",CELJE,5,2.07,NE,NE,NE,NE,NE
MCDONALD'S RESTAVRACIJA - CELOVŠKA,"Celovška cesta 170, 1000 Ljubljana",LJUBLJANA,4,2.07,DA,NE,NE,NE,NE
MCDONALD'S RESTAVRACIJA - KRANJ DRIVE,"Cesta Boštjana Hladnika 7, 4000 Kranj",KRANJ,4,2.07,DA,NE,NE,NE,NE
MCDONALD'S RESTAVRACIJA KOPER,"Ankaranska 4, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,4,2.07,DA,NE,NE,NE,NE
MCDONALD'S RESTAVRACIJA NOVA GORICA,"Vojkova cesta 111, 5000 Nova Gorica",NOVA GORICA,0,2.07,DA,NE,NE,NE,NE
ME GUSTA,"Jezdarska ulica 8b, 2000 Maribor",MARIBOR,4,0.0,NE,NE,NE,NE,NE
MEDITERRANEO,"Ciril Metodov trg 16, 1000 Ljubljana",LJUBLJANA,4,4.37,DA,NE,NE,DA,NE
MEHIŠKA RESTAVRACIJA CANTINA MARIA,"Ulica Jake Platiše 17, 4000 Kranj",KRANJ,3,2.4,DA,DA,NE,NE,NE
MEHIŠKA RESTAVRACIJA IMPERIO - DOSTAVA,"Šmartinska 152g, 1000 Ljubljana",LJUBLJANA,4,4.37,DA,NE,DA,DA,NE
MEHIŠKA RESTAVRACIJA IMPERIO MEXICANO,"Šmartinska 152g, 1000 Ljubljana",LJUBLJANA,5,3.67,DA,NE,NE,NE,NE
MENZA,"Celovška cesta 166, 1000 Ljubljana",LJUBLJANA,5,2.37,DA,NE,NE,NE,NE
MENZA FS,"Aškerčeva cesta 6, 1000 Ljubljana",LJUBLJANA,5,2.57,DA,DA,NE,NE,DA
META IN BAZILIKA,"Rimska cesta 25a, 1000 Ljubljana",LJUBLJANA,4,3.97,DA,NE,NE,NE,DA
MLEČNA RESTAVRACIJA,"Maistrov trg 13, 4000 Kranj",KRANJ,5,2.27,DA,NE,NE,NE,DA
MLEČNA RESTAVRACIJA - DOSTAVA,"Maistrov trg 13, 4000 Kranj",KRANJ,0,3.27,DA,NE,DA,NE,DA
MORNARČEK RIBJA KANTINA - RESTAVRACIJA,"Pistaniška ulica 2, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,2,3.87,NE,NE,NE,DA,NE
NAMASTE INDIAN EXPRESS,"Trubarjeva ulica 31, 1000 Ljubljana",LJUBLJANA,4,3.3,DA,NE,NE,NE,NE
NEWS CAFE,"Obala 4F, 6320 Portorož/Portorose",PORTOROŽ/PORTOROSE,4,3.5,DA,DA,NE,DA,NE
NOOMM,"Tyrševa 3, 2000 Maribor",MARIBOR,4,2.9,NE,NE,NE,NE,NE
OKREPČEVALNICA - BISTRO TANJA,"Cankarjeva ulica 58, 9000 Murska Sobota",MURSKA SOBOTA,0,2.37,DA,NE,NE,DA,NE
OKREPČEVALNICA - DINER KINO GLEDALIŠČE BEŽIGRAD,"Linhartova 11, 1000 Ljubljana",LJUBLJANA,5,3.1,DA,DA,NE,DA,NE
OKREPČEVALNICA - PIZZERIJA MAKS,"Dunajska cesta 111, 1000 Ljubljana",LJUBLJANA,4,2.97,DA,DA,NE,DA,NE
"OKREPČEVALNICA ""BUREK 1""","Trg OF 7, 1000 Ljubljana",LJUBLJANA,4,1.2,NE,DA,NE,DA,NE
"OKREPČEVALNICA ""BUREK""","Poljanska cesta 7, 1000 Ljubljana",LJUBLJANA,4,1.2,NE,DA,NE,DA,NE
"OKREPČEVALNICA ""RIVIERA""","Trubarjeva cesta 36, 1000 Ljubljana",LJUBLJANA,3,2.6,DA,NE,NE,DA,NE
OKREPČEVALNICA AJDA,"Ajdovščina 4, 1000 Ljubljana",LJUBLJANA,4,2.7,NE,NE,NE,NE,NE
OKREPČEVALNICA AZZURRO,"Nove Fužine 43, 1000 Ljubljana",LJUBLJANA,0,3.0,NE,NE,NE,DA,NE
OKREPČEVALNICA BADOVINAC,"Kardeljeva ploščad 5, 1000 Ljubljana",LJUBLJANA,4,1.2,DA,DA,NE,NE,NE
OKREPČEVALNICA BOBER (PARIŠKE KOMUNE),"Ulica Pariške komune 47, 2000 Maribor",MARIBOR,0,2.0,DA,DA,NE,NE,NE
OKREPČEVALNICA BOBER (PARTIZANSKA),"Partizanska 50, 2000 Maribor",MARIBOR,4,2.0,DA,NE,NE,NE,NE
OKREPČEVALNICA ĆEVABDŽINICA MALI GAZDA,"Obala 114, 6320 Portorož/Portorose",PORTOROŽ/PORTOROSE,3,3.6,DA,DA,NE,DA,NE
OKREPČEVALNICA FRESH (PRODAJNO MESTO PETROL),"Dol. Podboršt pri Trebnjem 50, 8210 Trebnje",TREBNJE,0,3.77,DA,DA,NE,NE,NE
OKREPČEVALNICA FRESH (PRODAJNO MESTO PETROL),"Ljubljanska cesta 50, 1236 Trzin",TRZIN,0,3.77,DA,DA,NE,NE,NE
OKREPČEVALNICA FRESH (PRODAJNO MESTO PETROL),"Povir 95, 6210 Sežana",SEŽANA,0,3.77,DA,DA,NE,NE,NE
OKREPČEVALNICA HAMBURGER HILL ZAGREBŠKA,"Zagrebška cesta 73, 2000 Maribor",MARIBOR,5,1.37,NE,DA,NE,NE,NE
OKREPČEVALNICA IZUM,"Prešernova 17, 2000 Maribor",MARIBOR,5,2.87,DA,NE,NE,NE,NE
OKREPČEVALNICA KEMIJSKI INŠTITUT,"Hajdrihova 19, 1000 Ljubljana",LJUBLJANA,0,2.97,DA,NE,NE,NE,NE
OKREPČEVALNICA LAGUNA,"Kocljeva 1a, 9000 Murska Sobota",MURSKA SOBOTA,3,1.8,NE,NE,NE,NE,NE
OKREPČEVALNICA LAGUNA - DOSTAVA,"Kocljeva 1a, 9000 Murska Sobota",MURSKA SOBOTA,4,1.8,NE,NE,DA,DA,NE
OKREPČEVALNICA MAJ,"Pivola 10, 2311 Hoče",HOČE,5,2.0,DA,NE,NE,NE,NE
OKREPČEVALNICA MINUTKA,"Celjska cesta 48 b, 2380 Slovenj Gradec",SLOVENJ GRADEC,0,2.17,NE,DA,NE,NE,NE
OKREPČEVALNICA MM PANDA,"Koroška cesta 9, 2000 Maribor",MARIBOR,5,2.0,NE,DA,NE,NE,NE
OKREPČEVALNICA NOVAK,"Koštialova 1, 8000 Novo mesto",NOVO MESTO,0,3.37,NE,DA,NE,NE,NE
OKREPČEVALNICA PEKARNA DOBROT,"Kotnikova 5, 1000 Ljubljana",LJUBLJANA,5,1.0,DA,DA,NE,NE,NE
OKREPČEVALNICA PIVNICA ALF,"Koroška cesta 5, 2000 Maribor",MARIBOR,4,2.8,DA,NE,NE,NE,NE
OKREPČEVALNICA PIVNICA ALF - DOSTAVA,"Koroška cesta 5, 2000 Maribor",MARIBOR,4,3.3,DA,NE,DA,NE,NE
OKREPČEVALNICA PODHOD,"Trg OF 10, 1000 Ljubljana",LJUBLJANA,5,1.2,NE,DA,NE,DA,NE
OKREPČEVALNICA PUB LEGENDE,"Trg MDB 8, 1000 Ljubljana",LJUBLJANA,4,3.17,DA,DA,NE,DA,NE
OKREPČEVALNICA RIBCA,"Adamič Lundrovo nabrežje 1, 1000 Ljubljana",LJUBLJANA,3,3.77,DA,DA,NE,NE,NE
OKREPČEVALNICA SARAJEVO,"Gosposvetska cesta 43c, 2000 Maribor",MARIBOR,4,2.77,DA,DA,NE,DA,NE
OKREPČEVALNICA STARI GRIL,"Glavni trg 5, 2000 Maribor",MARIBOR,5,2.8,DA,DA,NE,NE,NE
OKREPČEVALNICA ŠIŠ,"Usnjarska ulica 5, 2000 Maribor",MARIBOR,5,2.99,DA,DA,NE,DA,NE
OKREPČEVALNICA ŠUMI,"Kardeljeva ploščad 5, 1000 Ljubljana",LJUBLJANA,4,0.0,NE,DA,NE,NE,NE
OKREPČEVALNICA VIDA,"Prežihova ulica 5, 2390 Ravne na Koroškem",RAVNE NA KOROŠKEM,0,3.37,DA,NE,NE,NE,NE
OKREPČEVALNICA VILLA MONDE,"Spuhlja 32, 2250 Ptuj",PTUJ,5,2.67,NE,DA,NE,DA,NE
OKREPČEVANICA FRESH (PRODAJNO MESTO PETROL),"Povir 96, 6210 Sežana",SEŽANA,0,3.77,DA,DA,NE,NE,NE
OŠTARIJA PIZZERIA DA NOI,"Ulica Eve Lovše 1, 2000 Maribor",MARIBOR,4,2.99,NE,NE,NE,NE,NE
OŠTARIJA PIZZERIA DA NOI - DOSTAVA,"Ulica Eve Lovše 1, 2000 Maribor",MARIBOR,5,4.37,NE,NE,DA,DA,NE
OŠTARIJA PRI OLJKI,"Šmartinska cesta 152, 1000 Ljubljana",LJUBLJANA,5,3.27,DA,NE,NE,NE,NE
P.E. FAKULTETA ZA GRADBENIŠTVO IN GEODEZIJO,"Jamova 2, 1000 Ljubljana",LJUBLJANA,5,2.4,DA,DA,NE,NE,NE
PAPAGAYO,"Gosposka ulica 6, 2000 Maribor",MARIBOR,4,3.0,DA,DA,NE,NE,NE
PE DIJAŠKI DOM CELJE,"Ljubljanska cesta 21, 3000 Celje",CELJE,0,2.5,NE,NE,NE,NE,NE
PE KAVA BAR IN OKREPČEVALNICA FANTOM,"Glavni trg 41, 2380 Slovenj Gradec",SLOVENJ GRADEC,5,3.17,NE,NE,NE,DA,NE
PE MARJETICA,"Tobačna ulica 5, 1000 Ljubljana",LJUBLJANA,5,2.07,DA,NE,NE,NE,NE
PE OŠTARIJA CITY CENTER,"Mariborska cesta 100, 3000 Celje",CELJE,5,2.97,NE,NE,NE,NE,NE
PEK MATJAŽ TOMŠIČEVA,"Tomšičeva cesta 15, 3320 Velenje",VELENJE,5,0.0,NE,NE,NE,NE,NE
PERLA,"Leskoškova 11, 1000 Ljubljana",LJUBLJANA,0,3.37,DA,NE,NE,NE,NE
PETROL OKREPČEVALNICA FRESH,"Tržaška cesta 130, 1000 Ljubljana",LJUBLJANA,0,3.77,DA,NE,NE,NE,NE
PETROL OKREPČEVALNICA FRESH,"Celovška cesta 226, 1000 Ljubljana",LJUBLJANA,0,3.77,DA,NE,NE,NE,NE
PETROL OKREPČEVANICA FRESH,"Kolodvorska cesta 3A, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,0,3.77,DA,NE,NE,NE,NE
PIAZZA DEL PAPA,"Jurčkova cesta 223, 1000 Ljubljana",LJUBLJANA,5,3.37,DA,NE,NE,NE,NE
PICERIJA ALAN FORD,"Ferrarska 14, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,4,3.07,DA,DA,NE,NE,NE
PICERIJA BARJAN,"Cesta v Mestni log 55, 1000 Ljubljana",LJUBLJANA,5,3.5,DA,NE,NE,NE,NE
PICERIJA BONITAS,"Celjska cesta 7, 3310 Žalec",ŽALEC,4,3.27,DA,NE,NE,NE,NE
PICERIJA BONITAS - DOSTAVA,"Celjska cesta 7, 3310 Žalec",ŽALEC,0,4.27,NE,NE,DA,DA,NE
PICERIJA ERA,"Pod Trško goro 83, 8000 Novo mesto",NOVO MESTO,0,3.17,DA,DA,NE,DA,NE
PICERIJA IN RESTAVRACIJA TONAČ,"Grmičeva ulica 1, 4000 Kranj",KRANJ,5,4.0,DA,DA,NE,DA,NE
PICERIJA NA PLACU,"Goriška cesta 13, 5271 Vipava",VIPAVA,0,4.37,DA,DA,NE,NE,NE
PICERIJA SILVESTER,"Cesta talcev 41, 4000 Kranj",KRANJ,5,2.37,DA,DA,NE,DA,NE
PICERIJA ŠTANGELJ,"UlicaIvana Roba 56, 8000 Novo mesto",NOVO MESTO,0,2.57,DA,NE,NE,DA,NE
PICERIJA TONAČ - DOSTAVA,"Grmičeva ulica 1, 4000 Kranj",KRANJ,4,4.0,DA,NE,DA,DA,NE
PICERIJA VERONA,"Opekarniška cesta 9, 3000 Celje",CELJE,5,2.86,DA,DA,NE,NE,NE
PICERIJA VERONA - DOSTAVA,"Opekarniška cesta 9, 3000 Celje",CELJE,4,3.86,DA,NE,DA,NE,NE
PICESTAVRACIJA BOCCACCIO,"Celovška cesta 249, 1000 Ljubljana",LJUBLJANA,4,4.17,NE,DA,NE,DA,NE
PIVNICA ADAM RAVBAR,"Perkova 17, 1230 Domžale",DOMŽALE,5,3.77,DA,DA,NE,NE,NE
PIVNICA EMONEC,"Vanganelska cesta 20, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,0,3.87,DA,NE,NE,NE,NE
PIVOVARNA IN PIVNICA KRATOCHWILL,"Kolodvorska ulica 14, 1000 Ljubljana",LJUBLJANA,5,4.0,DA,DA,NE,DA,NE
PIZZERIA BRIKSEN,"Ljubljanska cesta 5, 4260 Bled",BLED,3,4.37,DA,NE,NE,NE,NE
PIZZERIA CHIANTI,"Rozmanova ulica 25, 8000 Novo mesto",NOVO MESTO,3,3.37,NE,DA,NE,DA,NE
PIZZERIA DA NOI FAST FOOD,"Ulica Eve Lovše 1, 2000 Maribor",MARIBOR,5,0.6,NE,NE,NE,NE,NE
PIZZERIA DI ANTONIO,"Gradišče 8a, 2380 Slovenj Gradec",SLOVENJ GRADEC,0,2.07,NE,NE,NE,NE,NE
PIZZERIA DI ANTONIO - DOSTAVA,"Gradišče 8a, 2380 Slovenj Gradec",SLOVENJ GRADEC,0,2.67,NE,NE,DA,NE,NE
PIZZERIA FOCULUS,"Gregorčičeva ulica 3, 1000 Ljubljana",LJUBLJANA,5,4.0,NE,DA,NE,NE,NE
PIZZERIA FONTANA,"Dalmatinova ulica 2, 8270 Krško",KRŠKO,3,3.87,DA,DA,NE,NE,NE
PIZZERIA GALLUS,"Ljubljanska cesta 4, 4260 Bled",BLED,0,3.7,DA,DA,NE,DA,NE
PIZZERIA GREGORINO,"Vojkova 34, 1000 Ljubljana",LJUBLJANA,4,3.8,DA,NE,NE,NE,NE
PIZZERIA HITRI GONZALES,"Na Poljanah 18, 2000 Maribor",MARIBOR,2,3.9,DA,DA,NE,DA,NE
PIZZERIA HITRI GONZALES - DOSTAVA,"Na Poljanah 18, 2000 Maribor",MARIBOR,3,4.37,DA,NE,DA,DA,NE
PIZZERIA IN ŠPAGETARIJA OLIVA,"Litijska cesta 38, 1000 Ljubljana",LJUBLJANA,5,4.37,DA,DA,NE,DA,NE
PIZZERIA IN ŠPAGETERIA AL CAPONE,"Pobreška cesta 18, 2000 Maribor",MARIBOR,4,3.19,NE,NE,NE,NE,NE
PIZZERIA IN ŠPAGETERIJA AL CAPONE,"Šmartinska cesta 152, 1000 Ljubljana",LJUBLJANA,3,3.17,DA,NE,NE,NE,NE
PIZZERIA IN ŠPAGETTERIA CUBUS,"Podbevškova ulica 11, 8000 Novo mesto",NOVO MESTO,0,2.9,DA,DA,NE,DA,NE
PIZZERIA KUKUCA,"Tra Franca Fakina 1, 1420 Trbovlje",TRBOVLJE,0,0.87,NE,DA,NE,DA,NE
PIZZERIA LATERNA,"Tržaška 79a, 1000 Ljubljana",LJUBLJANA,5,3.4,DA,DA,NE,DA,NE
PIZZERIA MIA FORTUNA,"Otoška cesta 5, 8000 Novo mesto",NOVO MESTO,5,3.07,DA,NE,NE,NE,NE
PIZZERIA OLIVA,"Dečkova cesta 41, 3000 Celje",CELJE,3,2.9,DA,DA,NE,DA,NE
PIZZERIA OLIVA - DOSTAVA,"Dečkova cesta 41, 3000 Celje",CELJE,3,3.9,DA,NE,DA,DA,NE
PIZZERIA OSMICA,"Nazorjeva ulica 8, 1000 Ljubljana",LJUBLJANA,5,2.9,DA,NE,NE,DA,NE
PIZZERIA PARMA,"Trg republike 2, 1000 Ljubljana",LJUBLJANA,4,3.3,NE,NE,NE,NE,NE
PIZZERIA PRONTO,"Koroška cesta 60, 2000 Maribor",MARIBOR,3,2.2,DA,DA,NE,DA,NE
PIZZERIA PRONTO - DOSTAVA,"Koroška cesta 60, 2000 Maribor",MARIBOR,4,2.5,DA,NE,DA,DA,NE
PIZZERIA ŠESTINKA,"Miklošičeva cesta 22, 1000 Ljubljana",LJUBLJANA,5,0.0,NE,NE,NE,DA,NE
PIZZERIA TOTALKA,"Kandijska cesta 60, 8000 Novo mesto",NOVO MESTO,4,3.0,NE,DA,NE,DA,NE
PIZZERIA TOTTAPIZZA,"Puhova ulica 1, 2000 Maribor",MARIBOR,4,3.0,NE,NE,NE,NE,NE
PIZZERIA TUNNEL,"Karlovška cesta 5, 1000 Ljubljana",LJUBLJANA,4,3.9,DA,DA,NE,NE,NE
PIZZERIA VILA RAINERI,"Tomažičeva ulica 10, 6310 Izola/Isola",IZOLA/ISOLA,5,3.17,DA,DA,NE,NE,NE
PIZZERIJA AŠIČ,"Pečarjeva 1, 1410 Zagorje ob Savi",ZAGORJE OB SAVI,3,3.37,DA,DA,NE,NE,NE
PIZZERIJA AŠIČ - DOSTAVA,"Pečarjeva ulica 1, 1410 Zagorje ob Savi",ZAGORJE OB SAVI,5,3.87,DA,NE,DA,NE,NE
PIZZERIJA ATRIJ,"Čevljarska 8, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,4,3.17,DA,DA,NE,NE,NE
PIZZERIJA DIMNIK,"Obrtniška cesta 1, 1420 Trbovlje",TRBOVLJE,5,3.37,DA,DA,NE,DA,NE
PIZZERIJA DIMNIK - DOSTAVA,"Obrtniška cesta 1, 1420 Trbovlje",TRBOVLJE,5,3.87,DA,NE,DA,DA,NE
PIZZERIJA ETNA - ITALIJANSKA KUHINJA,"Ulica Marije Hvaličeve 6, 1000 Ljubljana",LJUBLJANA,4,4.37,DA,DA,NE,NE,NE
PIZZERIJA GORENC,"Koroška cesta 59, 4000 Kranj",KRANJ,4,2.77,NE,DA,NE,NE,NE
PIZZERIJA IN OKREPČEVALNICA KONDOR,"Cesta v Mestni log 55, 1000 Ljubljana",LJUBLJANA,4,3.37,DA,NE,NE,NE,NE
PIZZERIJA PIRAMIDA,"Vojkova 71, 1000 Ljubljana",LJUBLJANA,5,2.87,DA,DA,NE,NE,NE
PIZZERIJA VELUN,"Šalek 24 a, 3320 Velenje",VELENJE,4,3.9,NE,DA,NE,NE,NE
PIZZERIJA VERDI,"Dravska ulica 8, 2000 Maribor",MARIBOR,4,1.37,NE,DA,NE,DA,NE
PIZZERIJA VIVALDI,"Borštnikova ulica 33a, 2000 Maribor",MARIBOR,5,3.0,NE,DA,NE,NE,NE
PIZZERIJA VIVALDI - DOSTAVA,"Borštnikova ulica 33a, 2000 Maribor",MARIBOR,5,4.0,NE,NE,DA,NE,NE
POBREŠKI HRAM - DOSTAVA,"Osojnikova 20a, 2000 Maribor",MARIBOR,3,4.3,DA,NE,DA,DA,NE
PODMORNICA,"Kardeljeva ploščad 17, 1000 Ljubljana",LJUBLJANA,4,2.6,DA,DA,NE,NE,NE
POMORŠČAK,"Pot pomorščakov 4, 6320 Portorož/Portorose",PORTOROŽ/PORTOROSE,0,1.9,NE,NE,NE,NE,DA
PORTOFINO,"Tržaška cesta 65, 2000 Maribor",MARIBOR,0,3.0,DA,NE,NE,NE,DA
PORTOFINO - DOSTAVA,"Tržaška cesta 65, 2000 Maribor",MARIBOR,5,4.0,DA,NE,DA,NE,DA
PRAVNA FAKULTETA,"Poljanski nasip 2, 1000 Ljubljana",LJUBLJANA,4,2.57,DA,NE,NE,NE,NE
PREHRANA PALAČA SMELT,"Dunajska 160, 1000 Ljubljana",LJUBLJANA,0,3.47,DA,DA,NE,NE,NE
PRIMAVERA IZOLA,"Prešernova cesta 55, 6310 Izola/Isola",IZOLA/ISOLA,4,4.37,DA,NE,NE,NE,NE
PRIMAVERA IZOLA-DOSTAVA,"Prešernova cesta 55 , 6310 Izola/Isola",IZOLA/ISOLA,0,4.37,DA,NE,DA,DA,NE
PROMETNA ŠOLA MARIBOR,"Preradovičeva ulica 33, 2000 Maribor",MARIBOR,0,2.0,DA,NE,NE,NE,NE
PUCCINI ŠPAGETERIJA IN PIZZERIJA,"Šmartinska cesta 152, 1000 Ljubljana",LJUBLJANA,3,4.17,DA,NE,NE,NE,NE
Q SLOVENSKA,"Slovenska 9, 2000 Maribor",MARIBOR,4,3.77,DA,DA,NE,DA,NE
Q TABOR,"Gorkega ulica 45, 2000 Maribor",MARIBOR,4,3.77,DA,NE,NE,NE,NE
R&B - ROASTERY & BACERY,"Slovenska cesta 47, 1000 Ljubljana",LJUBLJANA,0,1.57,DA,DA,NE,NE,NE
"RESTAVRACIJA  ""BAŠČARŠIJA""","Poštna ulica 8, 2000 Maribor",MARIBOR,4,2.77,DA,DA,NE,DA,NE
"RESTAVRACIJA ""BERI 2""","Tržaška cesta 65, 1000 Ljubljana",LJUBLJANA,4,0.6,NE,NE,NE,DA,NE
RESTAVRACIJA 123 DELO,"Dunajska 5, 1000 Ljubljana",LJUBLJANA,0,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 123 DSU,"Litostrojska 54, 1000 Ljubljana",LJUBLJANA,0,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 123 FRI IN FKKT,"Večna pot 113, 1000 Ljubljana",LJUBLJANA,4,1.86,DA,DA,NE,NE,NE
RESTAVRACIJA 123 MC LJUBJANA,"Cesta Ljubljanske brigade 33, 1000 Ljubljana",LJUBLJANA,5,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 123 MC MARIBOR,"Ulica Eve Lovše 1, 2000 Maribor",MARIBOR,5,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 123 MC NOVA GORICA,"Industrijska cesta 6, 5000 Nova Gorica",NOVA GORICA,0,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 123 MEGA CENTER 2,"Verovškova ulica 55a, 1000 Ljubljana",LJUBLJANA,0,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 123 MERCATOR DUNAJSKA,"Dunajska cesta 107, 1000 Ljubljana",LJUBLJANA,3,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 123 PEDAGOŠKA,"Kardeljeva ploščad 16, 1000 Ljubljana",LJUBLJANA,5,2.3,DA,NE,NE,NE,NE
RESTAVRACIJA 123 PRISTAN,"Vojkovo nabrežje 32, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,0,3.0,DA,NE,NE,NE,NE
RESTAVRACIJA 2000,"Trg republike 1, 1000 Ljubljana",LJUBLJANA,4,2.97,DA,DA,NE,NE,NE
RESTAVRACIJA ALLEGRIA,"Nazorjeva ulica 8, 1000 Ljubljana",LJUBLJANA,4,4.3,DA,DA,NE,NE,NE
RESTAVRACIJA ANCORA,"Jurčičeva ulica 7, 2000 Maribor",MARIBOR,4,3.47,DA,NE,NE,NE,NE
RESTAVRACIJA BAR AMFORA,"Osojnikova 12, 2250 Ptuj",PTUJ,5,2.7,DA,DA,NE,NE,NE
RESTAVRACIJA BREJK,"Dunajska cesta 22, 1000 Ljubljana",LJUBLJANA,5,3.8,DA,DA,NE,NE,NE
RESTAVRACIJA BURGER KING,"Šmartinska cesta 152g, 1000 Ljubljana",LJUBLJANA,4,1.37,NE,NE,NE,NE,NE
RESTAVRACIJA CITY,"Trg Matije Gubca 3, 8270 Krško",KRŠKO,0,3.77,DA,DA,NE,DA,NE
RESTAVRACIJA FANY & MARY,"Petkovškovo nabrežje 19, 1000 Ljubljana",LJUBLJANA,5,4.17,DA,DA,NE,DA,NE
RESTAVRACIJA FRESCO,"Slovenska cesta 51, 1000 Ljubljana",LJUBLJANA,4,3.7,DA,DA,NE,NE,NE
RESTAVRACIJA FRIDA'S MEXICO,"Gorenjska cesta 38, 4202 Naklo",NAKLO,0,3.37,DA,DA,NE,NE,NE
RESTAVRACIJA GIG,"Mala ulica 5, 1000 Ljubljana",LJUBLJANA,4,2.6,DA,DA,NE,NE,NE
RESTAVRACIJA GLAŽUTA,"Dunajska 119, 1000 Ljubljana",LJUBLJANA,0,4.17,DA,DA,NE,NE,NE
RESTAVRACIJA IN KAVA BAR PARADIŽ,"Podutiška cesta 30, 1000 Ljubljana",LJUBLJANA,0,3.07,DA,DA,NE,NE,NE
RESTAVRACIJA IN KAVARNA FOODIE,"Kersnikova 6, 1000 Ljubljana",LJUBLJANA,5,1.99,DA,DA,NE,NE,DA
RESTAVRACIJA IN PIVNICA ZVEZDA,"Trg zmage 8, 9000 Murska Sobota",MURSKA SOBOTA,0,2.47,DA,NE,NE,NE,NE
RESTAVRACIJA IN PIZZERIJA PEPERONČINO,"Ankaranska cesta 2, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,3,3.3,DA,NE,NE,NE,NE
RESTAVRACIJA INTERSPAR CELJE,"Mariborska 100, 3000 Celje",CELJE,4,2.99,DA,NE,NE,NE,NE
RESTAVRACIJA INTERSPAR CITYPARK,"Šmartinska 152g, 1000 Ljubljana",LJUBLJANA,5,2.99,DA,NE,NE,NE,NE
RESTAVRACIJA INTERSPAR KOPER,"Ankaranska cesta 3A, 6000 Koper/Capodistria",KOPER/CAPODISTRIA,5,2.99,DA,DA,NE,NE,NE
RESTAVRACIJA INTERSPAR KRANJ,"Cesta 1.maja 77, 4000 Kranj",KRANJ,3,2.99,DA,NE,NE,NE,NE
RESTAVRACIJA INTERSPAR MARIBOR EUROPARK,"Pobreška 18, 2000 Maribor",MARIBOR,5,2.99,DA,NE,NE,NE,NE
RESTAVRACIJA INTERSPAR MARIBOR QLANDIA,"Cesta Proletarskih brigad 100, 2000 Maribor",MARIBOR,4,2.99,DA,NE,NE,NE,NE
RESTAVRACIJA INTERSPAR MURSKA SOBOTA,"Nemčavci 1d, 9000 Murska Sobota",MURSKA SOBOTA,1,2.99,DA,NE,NE,NE,NE
RESTAVRACIJA INTERSPAR NOVA GORICA,"Cesta 25. junija 1a, 5000 Nova Gorica",NOVA GORICA,5,2.99,DA,DA,NE,NE,NE
RESTAVRACIJA INTERSPAR VIČ,"Jamova 105, 1000 Ljubljana",LJUBLJANA,5,2.99,DA,NE,NE,NE,NE
RESTAVRACIJA KAVARNA PIZZERIA HOMBRE,"Gerbičeva ulica 61, 1000 Ljubljana",LJUBLJANA,4,3.7,DA,DA,NE,DA,NE
